id,title,tags
1131759,Omniscient Reader: The Prophecy,"Kim Dok-ja, an ordinary man in his 20s, is the only reader of an obscure web novel titled ""Three Ways to Survive the Apocalypse"". After having read the last chapter, the novel suddenly becomes reality, and its omnipotent hero Yu Jung-hyeok appears before Kim. As the only person who knows how to survive in this world, Kim and his companions strive to save the world by writing his own, new ending. Action Adventure Fantasy SouthKorea AhnHyo-seop LeeMin-ho ChaeSoo-bin ShinSeung-ho basedonnovelorbook survival apocalypse superpower basedonwebnovel action blockbuster post-apocalyptic"
1491902,Bang,"Follows a ruthless hitman who, after narrowly escaping a fatal attempt on his life, betrays his gang in an effort to find forgiveness but ends up becoming a target himself. Action Thriller Thailand JackKesy PeterWeller TristinMays KaneKosugi hitman"
1196067,Worldbreaker,"Five years ago, a tear in the fabric of reality brought creatures to our world from an alternate dimension bent on our destruction. A father hides his daughter on an island to keep her safe while he prepares her for survival and the battles to come. But when the world is about to break, no place is safe. Science Fiction Action Horror UnitedKingdom UnitedStatesofAmerica MillaJovovich LukeEvans BillieBoullet MeadowWilliams monster climatechange globalwarming"
1272837,28 Years Later: The Bone Temple,Dr. Kelson finds himself in a shocking new relationship - with consequences that could change the world as they know it - and Spike's encounter with Jimmy Crystal becomes a nightmare he can't escape. Horror Thriller Science Fiction UnitedKingdom UnitedStatesofAmerica RalphFiennes JackO'Connell AlfieWilliams ErinKellyman england post-apocalypticfuture satanism satanist sequel satan survival zombie death crucifix survivalhorror sataniccult zombieapocalypse northumberland
1413097,Melania,"Offering unprecedented access to the 20 days leading up to the 2025 Presidential Inauguration — through the eyes of the First Lady-elect herself — step inside Melania Trump's world as she orchestrates inauguration plans, navigates the complexities of the White House transition, and reenters public life with her family. With exclusive footage capturing critical meetings, private conversations, and never-before-seen environments, Mrs. Trump returns to one of the world's most powerful roles. Documentary UnitedStatesofAmerica MelaniaTrump DonaldTrump BarronTrump HervéPierre immigrant washingtondc,usa presidentialelection politics firstlady fashion inauguration controversial"
1062722,Frankenstein,"Dr. Victor Frankenstein, a brilliant but egotistical scientist, brings a creature to life in a monstrous experiment that ultimately leads to the undoing of both the creator and his tragic creation. Drama Fantasy Horror UnitedStatesofAmerica Canada OscarIsaac JacobElordi ChristophWaltz MiaGoth monster basedonnovelorbook supernatural surgeon madscientist reanimation fathersonrelationship mothersonrelationship frankenstein"
157336,Interstellar,The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage. Adventure Drama Science Fiction UnitedKingdom UnitedStatesofAmerica MatthewMcConaughey AnneHathaway MichaelCaine JessicaChastain rescue future spacecraft raceagainsttime artificialintelligence(a.i.) nasa timewarp dystopia expedition spacetravel wormhole famine hibernation blackhole quantummechanics familyrelationships space robot astronaut scientist singlefather farmer spacestation spaceadventure timeparadox time-manipulation cryonics fatherdaughterrelationship 2060s cornfield
575265,Mission: Impossible - The Final Reckoning,"Ethan Hunt and team continue their search for the terrifying AI known as the Entity — which has infiltrated intelligence networks all over the globe — with the world's governments and a mysterious ghost from Hunt's past on their trail. Joined by new allies and armed with the means to shut the Entity down for good, Hunt is in a race against time to prevent the world as we know it from changing forever. Action Thriller Adventure UnitedStatesofAmerica TomCruise HayleyAtwell VingRhames SimonPegg mask artificialintelligence(a.i.) diving submarine espionage spy nuclearmissile fakeidentity secretagent stunt sequel secretgovernmentorganization infiltration terroristplot fictionalgovernmentagency misinformation governmentagency basedontvseries absurd arrogant disapproving disgusted frustrated pretentious ridiculous barco navio submarino inteligênciaartificial"
1147411,"Miraculous World: Tokyo, Stellar Force","Kagami drags Marinette to Tokyo to help the Stellars defeat a new supervillain, but Marinette soon realizes her friend has another, untold reason for this trip to Japan. Adventure Animation Action TV Movie Comedy France AnouckHautbois ClaraSoares ClaireBaradat GrégoryLaisné magic superhero mecha tokyo,japan kaiju kids"
1198984,We Bury the Dead,"After a catastrophic military disaster, the dead don't just rise—they hunt. The military insists they are harmless and slow-moving, offering hope to grieving families. But when Ava enters a quarantine zone searching for her missing husband, she uncovers the horrifying truth: the undead are growing more violent, more relentless, and more dangerous with every passing hour. Horror Thriller Australia UnitedStatesofAmerica DaisyRidley BrentonThwaites MarkColesSmith MattWhelan australia undead zombie missingperson military tasmania aggressive somber apocalyptic quarantinezone"
19995,Avatar,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization. Action Adventure Fantasy Science Fiction UnitedStatesofAmerica UnitedKingdom SamWorthington ZoeSaldaña SigourneyWeaver StephenLang paraplegic attachmenttonature cultureclash indigenous spacetravel spacecolony tribe alienplanet distantfuture marine battle loveaffair scientist nature nativepeoples powerrelations tribalcustoms tribalpeople tribalchief cryonics spiritualcommunity 22ndcentury savetheplanet racialdiscrimination soldiers awestruck bold exhilarated"
533533,TRON: Ares,"A highly sophisticated Program called Ares is sent from the digital world into the real world on a dangerous mission, marking humankind's first encounter with A.I. beings. Science Fiction Adventure Action UnitedStatesofAmerica JaredLeto GretaLee EvanPeters GillianAnderson artificialintelligence(a.i.) computerprogram simulation computersimulation sequel businessrivalry realworld absurd digitalworld"
1561955,Stephen,"A psychiatrist evaluating a self-confessed serial killer unravels a twisted web of trauma, deceit, and psychological manipulation—only to question if the killer is truly guilty or just another victim in a larger, darker game. Thriller India GomathiShankar SmruthiVenkat MichaelThangadurai Vijayashree"
1266990,Kulong,"Three friends retreat to a resort to collaborate on a daring screenplay for a contest. Faced with the challenge of writing about passion despite their own dry spells, their journey soon blurs the line between imagination and experience. Drama Philippines JennRosa AicaVeloso CarizManzano JDAguas lesbianrelationship lgbt lesbian girls'love(gl) lesbianromance sexy"
911430,F1,Racing legend Sonny Hayes is coaxed out of retirement to lead a struggling Formula 1 team—and mentor a young hotshot driver—while chasing one more chance at glory. Action Drama UnitedStatesofAmerica BradPitt DamsonIdris JavierBardem KerryCondon sports comeback racing racecardriver sportcompetition beforecreditsstinger rookie formulaone(f1) motorsport carracing
1439112,Muzzle: City of Wolves,"LAPD officer Jake Rosser endeavors to lead a peaceful life with his family and retired K-9 officer, Socks. However, tranquility dissolves into chaos when a gang targets them in a brutal attack. Alongside his new K-9 partner Argos, Jake launches into a relentless pursuit of justice, determined to protect his loved ones. Action Thriller Mystery UnitedStatesofAmerica AaronEckhart TanyavanGraan KarlThaning NicoleFortuin policedog lapd"
1315303,Primate,"Lucy, a college student, along with her friends, spend their vacation at her family's home in Hawaii, which includes her pet chimpanzee, Ben. However, when Ben contracts rabies after being bitten by a rabid animal, the group must fight for their lives in order to avoid the now-violent chimp. Horror Thriller UnitedStatesofAmerica JohnnySequoyah JessicaAlexander TroyKotsur VictoriaWyant hawaii pet animalattack gore survival monkey survivalhorror chimpanzee rabies primate aggressive mongoose animalhorror poolparty pool party teenhorror horror animal"
1220564,The Secret Agent,"Brazil, 1977. Marcelo, a technology expert in his early 40s, is on the run. Hoping to reunite with his son, he travels to Recife during Carnival but soon realizes that the city is not the safe haven he was expecting. Crime Drama Thriller Brazil France Germany Netherlands Argentina WagnerMoura CarlosFrancisco TâniaMaria RobérioDiógenes police professor 1970s secretagent dictatorship ontherun recife brazilianpolitics brazil archives ditaduramilitarbrasileira"
1223601,Sisu: Road to Revenge,"Returning to the house where his family was brutally murdered during the war, ""the man who refuses to die"" dismantles it, loads it on a truck, and is determined to rebuild it somewhere safe in their honor. When the commander who killed his family comes back hellbent on finishing the job, a relentless, eye-popping cross-country chase ensues. Action War Finland UnitedKingdom JormaTommila StephenLang RichardBrake TommiKorpela sequel karelia wonder absurd amused distressing enraged venganza secuela"
111646,Biyaheng Langit,"Biyaheng Langit tells the story of Bea, a young Filipino-American (Joyce Jimenez). Bea is bored; all she wants in life is to raise five thousand dollars so that she can live independently in the United States. To relieve her boredom, Bea follows her grandmother (Nida Blanca) to the casino, where they gamble all night; this is where she meets Danny (Mark Anthony Fernandez), a runner who collects money from the tables for Bosing (Bembol Roco). Drama Action Romance Philippines JoyceJimenez MarkAnthonyFernandez"
